"Hidden pages won't be shown in blog but still can be accessed directly","التدوينة المخفية لن تظهر في المدونية ولكن يمكن الوصول إليها مباشرة"
"Add Category","إضافة تصنيف"
"Add Comment","إضافة تعليق"
"Add Post","إضافة تدوينة"
"Advanced Options","خيارات متقدّمة"
"Advanced Post Options","خيارات النشر"
"Approved","موافق عليه"
"If enabled, all comments appear immediately without admin approval.","في حال تفعيله جميع التعليقات سو تنشر مباشرة بدون موافقة المدير"
"An error occured. Please try again","An error occured. Please try again"
"Auto Approve Comments","الموافقة التلقائية على التعليقات"
"Blog Comment Manager","إدارة تعليقات المدونة"
"Blog Manager","إدارة المدوّنة"
"Blog Post Manager","إدارة التدوينات"
"Blog Post Options","خيارات التدوينة"
"Blog Settings","إعدادت المدوّنة"
"Blog Title","عنوان التدوينة"
"Blog","المدوّنة"
"blog","المدوّنة"
"Bookmark with","Bookmark with"
"By","من قبل"
"Categories","التصنيفات"
"Category Comment Manager","إدارة تعليقات التصنيفات"
"Category does not exist","التصنيف غير موجود"
"Category Information","معلومات التصنيف"
"Category Manager","إدارة التصنيفات"
"Category","التصنيف"
"click here","اضغط هنا"
"Comment Information","معلومات التعليق"
"Comment Manager","إدارة التعليقات"
"Comment Submitted","تم إضافة التعليق"
"Comment was approved","تم الموافقة على التعليق"
"Comment was successfully deleted","تم حذف التعليق بنجاح"
"Comment was successfully saved","تم حفظ التعليق بنجاح"
"Comment was unapproved","لم يتم الموافقة على التعليق"
"Comment","تعليق"
"Comments are Closed for this post","التعليقات مغلقة لهذه التدوينة"
"Comments are not enabled.","التليقات غير مفعّلة."
"Comments per Page","عدد التعليقات في الصفحة"
"Comments","التعليقات"
"comments","التعليقات"
"Content","المحتوى"
"Created on","أنشأت في"
"Created","أنشأت في"
"Date Format","صيغة الوقت"
"Default Posts Sorting","ترتيب التدوينات الافتراضي"
"Delete Category","حذف التصنيف"
"Delete Comment","حذف التعليق"
"Delete Post","حذف التدوينة"
"Disabling will close the post to new comments","التعطيل سوف يغلق إمكانية إضافية تعليقات جديدة"
"Duplicate Post","نسخ التدوينة"
"Edit Category  '%s'","تعديل التصنيف  '%s'"
"Edit Comment By '%s'","تعديل التعليق من قبل '%s'"
"Edit Post '%s'","تعديل التدوينة '%s'"
