PDF Templates,قوالب PDF
Add New PDF Template,إضافة قالب PDF جديد
Save and Countinue Edit,الحفظ ومتابعة التعديل
Template Description,وصف القالب
Edit PDF Template,تعديل قالب PDF
PDF Settings,اعدادات ملف PDF
Template Information,معلومات القالب
Page Contents,محتويات الصفحة
Template Body,محتوى القالب
Header Contents,محتويات الرأس
Template Header,رأس القالب
Footer Contents,محتويات التذييل
Template Footer,تذييل القالب
Template Css,تنسيق القالب بصيغة CSS
File Name,اسم الملف
Page format ,تنسيق الصفحة
Custom format,تنسيق مخصص
Width,عرض
Height,طول
Page orientation,توجيه الصفحة
Top,أعلى
Bottom,أسفل
Left,يسار
Right,يمين
Portrait,نمط صورة
Landscape,نمط مشهد
Created Time,تاريخ الإنشاء
Updated Time,تاريخ التعديل
Send Email,ارسال رسالة
Purchased From (Store),تم شراؤها من (متجر)
Show in Checkout Block,الظهور في صفحة الدفع
Is Enabled ,مفعل ؟
حركات,عمليات التحويل
Rate Percent,معدل الضريبة
Save Featured Products,حفظ المنتجات المتميزة
Import Bulk Product Images,رفع صور المنتجات بالجملة
Is Active,مفعل ؟
Thumbnail Image,صورة مصغرة
Include in Navigation Menu ,اضافته لنسق المتجر
Display Settings,اعدادات العرض
Display Mode,وضع العرض
Available Product Listing Sort By *,ترتيب قائمة المنتجات بحسب
Default Product Listing Sort By *,الترتيب الأفتراضي لقائمة المنتجات
Layered Navigation Price Step,تقسيم السعر في نسق المتجر
Use All Available Attributes,استخدام جميع السمات المتاحة
Use Parent Category Settings,استخدام اعدادات الفئة الرئيسية
Apply To Products,تطبيق على المنتجات
Active From,فعال من تاريخ
Active To,فعال الى تاريخ
Custom Layout Update,تحديث التقسيم المخصص
Categories Layout,تخطيط الفئات
Category Items Management,إدارة عناصر الفئات
Add Menu Item,إضافة عنصر في القائمة الرئيسية
Menu Type,نوع القائمة
Delete Menu,حذف القائمة
Save Menu,حفظ القائمة
Content Information,معلومات المحتوى
Menu Item Icon,أيقونة عنصر القائمة
Custom Content Position,المكان المخصص للمحتوى
Custom Style,تنسيق مخصص
General Style,التنسيق العام
Background Color,لون الخلفية
Border Color,لون الحدود
Border Size,حجم الحدود
Title Color,لون العنوان
Font Family,نوع الخط
Font Size,حجم الخط
Text Color,لون النص
Hover Color,لون التظليل
Use value of template,استخدام تنسيق القالب
Category Cache Management ,إدارة الذاكرة المؤقتة للفئات
Brands Categories,فئات العلامات التجارية
Add Manufacturer,إضافة علامة تجارية
Update Manufacturer from Magento,تحديث العلامة التجارية من ماجينتو
Reindex Manufacturer Name,إعادة فهرسة اسم العلامة التجارية
Reindex Manufacturer URL,إعادة فهرسة رابط العلامة التجارية
Is Featured,هل هو مميز؟
Item information,معلومات العنصر
URL Identifier,الرابط المعرف
Featured Manufacturer,علامة تجارية مميزة
Manufacturer Information,معلومات العلامة التجارية
Manufacturer Products,منتجات العلامة التجارية
Manufacturer Listing Page,صفحة قائمة العلامات التجارية
Default manufacturer image,صورة العلامة التجارية الإفتراضية
Alphabet sort order,الترتيب الأبجدي
Show featured manufacturer in top,عرض العلامة التجارية في أعلى الصفحة
Show manufacturer in product page,عرض العلامة التجارية في صفحة المنتجات
Enable manufacturer navigation,تفعيل البحث بالعلامة التجارية
Brand view on brands listing page,عرض العلامة التجارية في صفحة العلامات التجارية
Show image and name,عرض الإسم والصورة
Show image only,عرض الصورة فقط
Show name only,عرض الإسم فقط
Brand view on product page,عرض العلامة التجارية في صفحة المنتجات
Please make sure to clear cache after changing this field value,الرجاء التأكد من مسح الذاكرة المؤقتة بعد تعديل هذا الحقل
Manufacturer,علامة تجارية
Layered Navigation Filters,ترشيح نسق المتجر
In Category,في الفئة
In Search,في البحث
Display As,عرض ك
Search Engine Optimization,تحسين محرك البحث
Item Limit,حد العنصر
Method of Showing All Items,طريقة لعرض جميع العناصر
Show Option Search,عرض طريقة البحث
Filterable (no results) Links Are Not Clickable,ترشيح (بدون نتائج) الروابط غير قابلة للنقل
Popup Width,عرض النافذة المنبثقة
Use in Layered Navigation,إستخدامها في نسق المتجر
Values Required,القيمة مطلوبة
Use in Quick Search,الإستخدام في البحث السريع
Use in Advanced Search,الإستخدام في البحث المتقدم
Use In Search Results Layered Navigation,الإستخدام في نتائج البحث الخاصة بنسق المتجر
Use for Promo Rule Conditions,الإستخدام كشرط في قواعد الترويج
Visible on Product View Page on Front-end,ظاهر في صفحة المنتج
Used in Product Listing,الإستخدام في قائمة المنتجات
Used for Sorting in Product Listing,الإستخدام كعنصر تصنيف في قائمة المنتجات
Recurring Profiles,عمليات الشراء المتكررة
Enable Discount to Subproducts,تفعيل التخفيض للمنتجات الفرعية
Stop Further Rules Processing,إيقاف أي قواعد أخرى
By Percentage of the Original Price,بنسبة مئوية من السعر الأصلي
To Percentage of the Original Price,إلى النسبة المئوية من السعر الأصلي
Coupon,قسيمة شرائية
Uses per Customer,عدد الإستخدام بالنسبة للعميل
Maximum Qty Discount is Applied To,العدد الأقصى من عدد المنتجات لتطبيق التخفيض
Apply to Shipping Amount,تطبيقه على تكلفة الشحن
Default Rule Label for All Store Views,تسمية إفتراضية للقاعدة لجميع واجهات المتجر
Coupons Information,معلومات قسيمة الشراء
Coupon Qty,عدد قسائم الشراء
Code Length,طول رمز التخفيض
Code Format,تنسيق رمز التخفيض
Code Prefix,بداية الرمز
Code Suffix,نهاية الرمز
Customer First Name,الإسم الأول للعميل
Customer Middle Name,الأسم الأوسط للعميل
Customer Last Name,إسم العائلة
Search and SEO,البحث وتحسين محركات البحث
Banner Slider,اللافتات المتحركة
Manage Sliders,إدارة اللافتات
Banners Manager,إدارة اللافتات
Identifier,معرف
Title,عنوان
Store View,واجهة المتجر
Image,صورة
Link,رابط
Link Type,نوع الرابط
Link Target,هدف الرابط
Add Text,إضافة نص
Description,وصف
Sort Order,ترتيب
Delete Banner,حذف اللافتة
Save Banner,حفظ اللافتة
Manage Forms,إدارة الإستمارات
Form Information,بيانات الإستمارة
Submit button text,نص أيقونة التقديم
Display in menu,الظهور في القائمة
Delete Form,حذف الإستمارة
Add Field Set,إضافة مجموعة حقول
Add Field,إضافة حقل
Duplicate Form,تكرار الإستمارة
Registered customers only,العملاء المسجلين فقط
Result Approval Settings,إعدادات موافقة النتيجة
Enable result approval controls,تفعيل عناصر التحكم في الموافقة على النتائج
Enable approval status notification,تمكين إعلام حالة الموافقة
Result approved notification email template,قالب البريد الإلكتروني للموافقة على النتيجة
Result NOT approved notification email template,قالب البريد الإلكتروني لعدم الموافقة على النتيجة
Print Settings,إعدادات الطباعة
Print template,قالب الطباعة
Attach PDF to email,إرفاق PDF للبريد الإلكتروني
E-mail Settings,إعدادات البريد الإلكتروني
Send results by e-mail to admin,إرسال النتائج بالإيميل للمسؤول على المتجر
Field Sets,مجموعات الحقول
Validation,التحقق
Minimum length,الحد الأدني للطول
Maximum length,الحد الأقصى للطول
Validation error message,رسالة الخطأ الخاصة بالتحقق
Fields,حقول
Manage Quick Responses,إدارة الردود السريعة
Number of results,عدد النتائج
Statistics,إحصائيات
Refresh Statistics,تحديث الإحصائيات
Report,تقرير
undefined,غير معرف
Avg. Rating,متوسط التقييم
Avg. Approved Rating,متوسط التقييم الموافق عليه
All Reviews of Product,جميع المراجعات الخاصة بالمنتج
Customers by Orders Total,عملاء بإجمالي طلبات الشراء
Current Admin Password,كلمة المرور الحالية للمشرف على المتجر
Store Setup,إعدادات المتجر
Setup Payment,إعدادات الدفع
Cash on Delivery,الدفع عند الإستلام
Shipment to applicable countries,الشحن الى البلدان المحددة
Cost calculation,حساب التكلفة
Costs for inland shipping,التكلفة الشحن الداخلي
Costs for shipping to foreign countries,تكلفة الشحن الخارجي
Custom text for checkout page,نص مخصص لصفحة الدفع
Disallow specific shipping methods,عدم السماح بطرق شحن محددة
Cash On Delivery Payment,وسيلة الدفع عند الإستلام
New Order Status,حالة الطلب الجديد
Instructions,تعليمات
Bank Transfer Payment,التحويل البنكي
Payment Services,خدمات الدفع
Manage Currency,إدارة العملة
Manage Currency Symbols,إدارة رمزو العملات
Symbols,رموز
Store Maintenance,صيانة المتجر
Store Maintenance?,صيانة المتجر؟
Frontend Access for Admins?,تعطيل وضع الصيانة لمسؤول المتجر
General Configuration,التكوينات العامة
Countries Options,خيارات الدول
Allow Countries,الدول المسموح بها
Choose Store View:,إختر واجهة المتجر
Taxes,الضرائب
Tax Class for Cash on Delivery Fee,شريحة الضريبية لتكلفة الدفع عند الإستلام
Calculation Settings,إعدادات حساب الضريبة
Tax Calculation Method Based On,طريقة حساب الضريبة بناء على
Tax Calculation Based On,حساب الضريبة بناء على
Catalog Prices,أسعار الكتالوج
Excluding Tax,لاتشمل الضريبة
Including Tax,شاملة الضريبة
Shipping Prices,أسعار الشحن
Cash on Delivery fee include tax,الدفع عند الإستلام شامل الضريبة
Apply Customer Tax,تطبيق ضريبة العملاء
Before Discount,قبل الخصم
After Discount,بعد الخصم
Apply Discount On Prices,تطبيق الخصم على الأسعار
Default Tax Destination Calculation,حساب الضريبة للوجهة الإفتراضية
Price Display Settings,إعدادات عرض السعر
Display Product Prices In Catalog,عرض أسعار المنتجات في كتالوج
Display Cod Fee,عرض سعر الدفع عند الإستلام
Shopping Cart Display Settings,إعدادات عرض سلة التسوق
Display Prices,عرض الأسعار
Display Subtotal,عرض المجموع الفرعي
Display Shipping Amount,عرض سعر الشحن
