%s already exist,%s موجود بالفعل
%s already exists,%s موجود بالفعل
-- Please Select --,-- من فضلك اختر --
Add Block Names to Hints,إضافة حجب أسماء إلى التلميحات
Add Secret Key to URLs,إضافة رمز سري الى عناوين الموقع
Add Store Code to Urls,اضافة رمز المتجر الى عناوين الموقع
Admin,الادارة
Admin Base URL,عنوان الادارة الأساسي
Admin User Emails,عناوين البريد الإلكتروني لمستخدم الادارة
Advanced,متقدم
Allow countries,السماح للدول
Allowed IPs (comma separated),عناوين IP المسموح لها (مفصوله بفواصل)
Are you sure?,هل أنت متأكد؟
Back,للخلف
Backup options,الخيارات الاحتياطية
Base JavaScript URL,عنوان موقع الجافا سكريبت الأساسي
Base Link URL,عنوان الرابط الأساسي
Base Media URL,عنوان الميديا الأساسي
Base Skin URL,عنوان التصميم الأساسي
Base URL,العنوان الأساسي
Before modifying the store view code please make sure that it is not used in index.php,قبل تعيين رمز المتجر يرجى التأكد من انها لم تستخدم في index.php
Before modifying the website code please make sure that it is not used in index.php,قبل تعيين رمز الموقع يرجى التأكد من انها لم تستخدم في index.php
"Block with name ""%s"" already exists","المساحة بالاسم ""%s"" موجودة بالفعل"
Blocks HTML output,مخرجات مساحة HTML
Can't retrieve request object,لا يمكن استرجاع موضوع الطلب
Can't retrieve entity config: %s,لا يمكن استرجاع كيان الإعدادات: %s
Cancel,إلغاء
Cannot Delete Email Template,لا يمكن حذف قالب البريد الإلكتروني
Cannot complete this operation from non-admin area.,لا يمكن إتمام هذه العملية لأنك غير مسجل كمشرف
Category object is required for determining product request path,مطلوب موضوع الفئة لتحديد طريق المنتج المختار
Code,رمز
Collections Data,مجموعات البيانات
Configuration,الاعدادات
Controller file was loaded but class does not exist,ملف المراقب تم تحميله ولكن لم يتم العثور على الطبقة
Cookie Domain,عنوان الCookie
Cookie Lifetime,Cookie المده الزمنية
Cookie Path,Cookie الطريق
Copyright,حق النشر
Countries options,خيارات الدول
Create Store,إنشاء متجر
Create Store View,إنشاء واجهة متجر
Create Website,إنشاء موقع
Current package name,اسم المجموعة الحالية
Custom Design,تصميم مخصص
Custom admin URL,URL تصميم الإدارة
Custom email 1,بريد إلكتروني مخصص 1
Custom email 2,بريد إلكتروني مخصص 2
Customer support,دعم العملاء
Date From,التاريخ من
Date To,التاريخ إلى
"Date/time format ""%s"" is not supported.","تنسيق التاريخ / الوقت ""٪ S"" غير مدعم."
Debug,تحقق
Default,الافتراضي
Default Description,الوصف الإفتراضي
Default Keywords,كلمات البحث الإفتراضية
Default Pages,الصفحات الافتراضية
Default Robots,الروبوتات الافتراضية
Default Store,المتجر الافتراضي
Default Store View,واجهة المتجر الافتراضية
Default Title,العنوان الإفتراضي
Default country,الدولة الافتراضية
Default no-route url,عنوان صفحة لا-طريق الافتراضيه
Default web url,عنوان الموقع الافتراضي
Delete,حذف
Delete Store,حذف متجر
Delete Store View,حذف واجهة المتجر
Delete Website,حذف الموقع
