%s Item(s), %s عنصر 
&copy; 2008 Magento Demo Store. All Rights Reserved.,&copy؛ 2008 متجر ماجنتو التجريبي. كل الحقوق محفوظة.
(Shift-)Click or drag to change value,(Shift-)انقر أو اسحب لتغيير قيمة
(ver. %s),(ver. %s)
- Click on any of the time parts to increase it,- انقر على أي من أجزاء الوقت لزيادته
- Hold mouse button on any of the above buttons for faster selection.,- استمر بالضغط على زر الماوس على أي من الأزرار أعلاه لاختيار أسرع.
- Use the %s buttons to select month,- استخدام زر s% لتحديد الشهر
"- Use the %s, %s buttons to select year","- استخدام أزرار s%, %e لتحديد السنة"
- or Shift-click to decrease it,- أو Shift-ضغط لخفضه
- or click and drag for faster selection.,- أو انقر واسحب لاختيار أسرع.
About the calendar,حول التقويم
"Click <a href=""%s"">here</a> if nothing has happened","انقر <a href=""٪s""> هنا </a> إن لم يحدث شيئا"
Close,مغلق
Close Window,أغلق النافذة
DHTML Date/Time Selector,DHTML تاريخ / محدد وقت
Date selection:,اختيار تاريخ:
Default Description,الوصف الاعتيادى
Default welcome msg!,رسالة الترحيب! الاعتيادية
Display %s first,عرض s% الأولى
Distributed under GNU LGPL. See %s for details.,موزعت بموجب GNU LGPL. انظر الصورة %s لمزيد من التفاصيل.
Drag to move,اسحب لتحرك
For latest version visit: %s,لأحدث نسخة قم بزيارة: %s
Go Today,اذهب الى يوم
Help Us to Keep Magento Healthy,ساعدنا لنحافظ على الماجنتو سليمة
Interface Language,لغة الواجهة
Items %s to %s of %s total,عناصر %s الى %s من %s مجموع
Next Page,الصفحة التالية
Next month (hold for menu),الشهر القادم (تمسك للقائمة)
Next year (hold for menu),العام المقبل (تمسك للقائمة)
Page:,الصفحة:
Prev. month (hold for menu),السابق. الشهر (تمسك للقائمة)
Prev. year (hold for menu),السابق. عام (تمسك للقائمة)
Previous Page,الصفحة السابقة
Redirecting...,إعادة توجيه...
Report All Bugs,أبلغ عن كل الثغرات
Select Store,اختر متجرا
Select date,حدد تاريخ
Show,أعرض
Skip to Footer,انتقل إلى تذييل
Skip to Left Column,انتقل إلى العمود الأيسر
Skip to Main Content,تجاوز الى المحتويات الرئيسية
Skip to Right Column,انتقل إلى العمود الأيمن
This is a demo store. Any orders placed through this store will not be honored or fulfilled.,هذا متجر تجريبي. اي من طلبات الشراء وضعت من خلاله لن يتم الوفاء بها.
Time selection:,اختيار الوقت:
Time:,وقت:
"Welcome, %s!","مرحبا, %s!"
You're currently on:,انت حاليا فى:
Your Language,اختيار اللغة 
Your Language:,لغتك:
per page,لكل صفحة
Your Language:,لغتك:
(ver. %s),(ver. %s)
Help Us to Keep Magento Healthy,ساعدنا لنحافظ على الماجنتو سليمة
Report All Bugs,أبلغ عن كل الثغرات
Your Language,لغتك
