Abandoned carts,العربات المتروكة
Action,إجراء
Add to Cart,إضافة إلى السلّة
Add to Compare,إضافة إلى المقارنة
Add to Wishlist,إضافة إلى قائمة الأمنيات
Applied Coupon,قسيمة شرائية مستخدمة
Avg. approved rating,معدل التقييم الموافق عليه
Avg. rating,معدل التقييم
Bestsellers,افضل البائعين
Bought from wishlists,تم شرائها من قائمة الامنيات
CSV,ملف CSV
Carrier/Method,الناقل / طريقة
Carts,عربات الشراء
Coupons,قسائم شرائية
Created at,أنشئ في
Customer,العميل
Customer Name,اسم العميل
Customer Tags,علامات العميل
Customers,العملاء
Customers Report,تقرير العملاء
Customers Reviews,مراجعات العملاء
Customers Tags,علامات العملاء
Customers by number of orders,عملاء بعدد طلبات الشراء
Customers by orders total,عملاء بإجمالي طلبات الشراء
Customers that have wishlist: %s%,العملاء الذين يملكون قائمة الامانيات: %s%
Day,اليوم
Default Recently Compared Products count,العد الإفتراضي للمنتجات المقارنة مؤخرا
Default Recently Viewed Products count,العد الإفتراضي للمنتجات التي شوهدت مؤخرا
Detail,تفصيل
Discounts,خصومات
Downloads,التنزيلات
Email,البريد الإلكتروني
Excel,اكسل
First Name,الاسم الأول
Guest,زائر
Hits,الإصابات
ID,الرمز التعريفي
Invalid date specified,تاريخ محدد غير صالح
Invoiced,فاتورة
Items Ordered,سلع مطلوبة
Items in Cart,السلع بعربة التسوق
Last Name,الإسم الأخير
Last Review,آخر رأي
Link,رابط
Low stock,متدني المخزون
Month,الشهر
Most Viewed,الأكثر مشاهدة
Most viewed,الأكثر مشاهدة
Name,الاسم
New Accounts,حسابات جديدة
Number Added,عدد التي تم إضافته
Number Fulfilled,عدد المستوفاة
Number Of Historical Uses,عدد الاستخدامات التاريخية
Number Of Reviews,عدد الآراء
Number Of Uses,عدد الاستخدامات
Number Purchased,عدد تم شراؤه
Number Viewed,عدد تم مشاهدته
Number of Items,عدد السلع
Number of Ivoiced Orders,عدد الطلبات التي تم فوترتها
Number of New Accounts,عدد الحسابات الجديدة
Number of Orders,عدد طلبات الشراء
Number of Refunded Orders,عدد طلبات الشراء التي تم إسترداد دفعتها
Number of Reviews,عدد الآراء
Number of Total Tags,عدد مجموع العلامات
Number of Unique Tags,عدد العلامات النادرة
Number of Views,عدد المشاهدات
Number of items bought from a wishlist: %s,عدد السلع التي تم شرائها من قائمة الأمنيات %s
Number of times deleted,عدد المرات التي تم حذفها
Number of times wishlists have been shared (emailed): %s,عدد المرات التي تم مشاركة قائمة الأمنيات (من خلال البريد الإلكتروني): %s
Number of wishlist conversions: %s,عدد المرات التي تم الشراء من قائمة الأمنيات: %s
Number of wishlist referrals: %s,عدد المرات التي تم إحالة قائمة الأمنيات: %s
Number of wishlists: %s,عدد قوائم الأمنيات: %s
Offline Refunded,إسترداد الدفعة بشكل غير متصل
Online Refunded,إسترداد الدفعة بشكل متصل
Orders,طلبات الشراء
Out of stock,نفد من المخزون
Poducts Report,تقرير المنتجات
Popular Tags,العلامات المشهورة
Popularity,الشعبية
Price,السعر
Product Name,اسم المنتج
Product Reviews,آراء المنتج
Product Sku,الرقم التعريفي للمنتج
Product Tags,علامات المنتج
Products,المنتجات
Products Report,تقرير المنتجات
Products Reviews,آراء المنتجات
Products Sold,منتجات تم بيعها
Products Tags,علامات المنتج
Products in carts,المنتجات في عربات التسوق
Purchases,مشتريات
Quantity Ordered,كمية تم شرائها
Quantity of Items,كمية السلع
Rate,معدل
Recently Compared Products,المنتجات المقارنة حديثا
Recently Viewed Products,المنتجات المشاهدة حديثا
Recently Viewed/Compared Products,المنتجات المشاهدة/المقارنة حديثا
Refunded,تم إسترداد دفعتها
Reports,تقارير
Results,نتائج
Revenue,دخل
Review,رأي
Reviews,آراء
Reviews for %s,آراء لـ %s
Sales,مبيعات
Sales Report,تقرير المبيعات
Search Terms,مصطلحات البحث
Shipping,الشحن
Shopping Cart,عربة التسوق
Show for Current,إظهار للحالي
Stock Qty,كمية المخزون
Submitted In,ارسلت في
Submitted On,ارسلت على
Subtotal,المجموع الفرعي
Tag,علامة
"Tag ""%s"" details","تفاصيل علامة ""%s"""
Tag Detail,تفاصيل العلامة
Tag Name,اسم العلامة
Tag use,استخدام العلامة
Tags submited by %s,ارسلت العلامات بواسطة %s
Tags submitted to %s,ارسلت العلامات الى %s
Tax,الضريبة
Tax Amount,كمية الضريبة
Title,العنوان
Total,الإجمالي
Total Invoiced,كمية التي تم فوترتها
Total Invoiced Captured,كمية التي تم فوترتها وحجزها
Total Invoiced not Captured,كمية التي تم فوترتها و لم يتم حجزها
Total Refunded,إجمالي الدفعات المستردة
Total Shipping,الشحن الإجمالي
Total Tags,اجمالي العلامات
Total invoiced,كمية التي تم فوترتها
Total refunded,إجمالي الدفعات المستردة
Updated at,تم التحديث في
Visible In,ظاهر في
Wishlist Report,تقرير قائمة الأمنيات
Wishlist vs. Regular Order,الطلبات العادية بالنسبة للطلبات من قائمة الأمنيات
Wishlists,قوائم الأمنيات
Year,السنة
Your Recently Compared,لقد تم المقارنة حديثا لـ
Your Recently Viewed,لقد تم المشاهدة حديثا لـ
