 The customer doesn't exist in the system anymore, العميل غير موجود في النظام بعد الان
"""%s"" coupon code is not valid.","رمز القسيمة الشرائية ""%s"" غير صالح"
%s / %s rate:,%s / %s معدل: 
%s for %s,%s لـ %s
%s order(s) successfully canceled,لقد تم إلغاء %s طلب\طلبات بنجاح
%s order(s) successfully put on hold,لقد تم وضع %s طلب\طلبات في حالة معلقة بنجاح
%s order(s) successfully released from holding status,لقد تم تحرير %s طلب\طلبات من حالة معلقة بنجاح
* - Enter custom price excluding tax,* - قم بإدخال السعر المخصص غير شامل للضريبة
* - Enter custom price including tax,* - قم بإدخال السعر المخصص شامل للضريبة
About This Order:,عن هذا الطلب:
About Your Order,عن طلب شارئك:
Account Information,بيانات الحساب
Action,إجراء
Actions,إجراءات
Add,إضافة
Add Gift Messsage,إضافة رسالة هدية
Add New Address,إضافة عنوان جديد
Add Order Comments,إضافة تعليقات طلب الشراء
Add Products,إضافة منتجات
Add Selected Product(s) to Option,إضافة المنتج\المنتجات المختار الى الخيار
Add Selected Product(s) to Order,إضافة المنتج\المنتجات المختار الى طلب الشراء
Add To Order,إضافة الى طلب الشراء
Add Tracking Number,إضافة رقم التتبع
Add a gift message for <strong>each gift item</strong>,أضف رسالة هدية لـ<strong>كل سلعة هدية</strong>
Add a gift message for the <strong>entire order</strong>,أضف رسالة هدية لـ<strong>طلب الشراء كامل</strong>
Add comment to order,إضافة تعليق لطلب الشراء
Add new comment to shipment,إضافة تعليق للشحنة
Add new tracking number,إضافة رقم تتبع جديد
Add to Cart,إضافة إلى السلّة
Address,عنوان
Adjustment Fee,رسوم التعديل
Adjustment Fee:,رسوم التعديل:
Adjustment Refund,إعادة رسوم التعديل
Adjustment Refund:,إعادة رسوم التعديل:
Allow Reorder,السماح لإعادة طلب الشراء
Amount,الكمية
Append Comments,إلحاق تعليقات
Apply,تطبيق
Apply Coupon Code,تطبيق رمز قسيمة الشراء
Are you sure you want to cancel this order?,هل أنت متأكد أنك تريد إلغاء طلب الشراء هذا؟
Are you sure?,هل أنت متأكد؟
Are you sure? This order will be cancelled and a new one will be created instead,هل أنت متأكد؟ سيتم إلغاء هذا الطلب وإنشاء طلب شراء جديد بدلا عنه
Back to My Orders,الرجوع الى طلبات شرائي
Backordered,طلب بشكل مؤجل
Bill to First name,فاتورة الى الاسم الاول
Bill to Last name,فاتورة الى الاسم الاخير
Bill to Name,فاتورة الى الاسم
Billing Address,عنوان الفاتورة
Buy %s for price %s,قم بشراء %s بسعر %s
Can not add order history.,لا يمكن اضافة تاريخ طلب الشراء
"Can not create block ""%s""","لا يمكن إنشاء مساحة ""%s"""
Can not do invoice for order.,لايمكن إصدار فاتورة لطلب الشراء
Can not do shipment for order.,لا يمكن إصدار شحنة لطلب الشراء
Can not register existing creditmemo,لايمكن تسجيل مذكرة إئتمانية موجودة من قبل
Can not register existing invoice,لايمكن تسجيل فاتورة موجودة من قبل
Can not register existing shipment,لايمكن تسجيل شحنة موجودة من قبل
Can't get order instance,لا يمكن الحصول على نمط الطلب
Cancel,إلغاء
Cancel invoice,إلغاء الفاتورة
Cancel order,إلغاء طلب الشراء
Canceled,تم الإلغاء
Cannot create an empty shipment.,لايمكن إنشاء شحنة فارغة
Capture,حجز
Capture Amount,حجز المبلغ
Capture Offline,حجز بشكل غير متصل
Capture Online,حجز بشكل متصل
Capture invoice,حجز الفاتورة
Carrier,الناقل
Change Status,تغيير الحالة
"Change status, add comments",تغيير الحالة، إضافة تعليق
Checkout totals sort order,ترتيب قسم المجموع في عملية الشراء
Click to change shipping method,اضغط لتغيير طريقة الشحن
Closed,مغلق
Comment,تعليق
Comment Text,نص التعليق
Comments,تعليقات
Comments History,تاريخ التعليقات
Complete,مكتمل
Country,الدولة
Coupons,قسائم شرائية
Create,إنشاء
Create New Customer,إنشاء عميل جديد
Create New Order,إنشاء طلب شراء جديد
Create New Order for %s,إنشاء طلب شراء جديد لـ %s
Create New Order for %s in %s,إنشاء طلب شراء جديد لـ %s في %s
Create New Order for New Customer,إنشاء طلب شراء جديد لعميل جديد
Create New Order for New Customer in %s,إنشاء طلب شراء جديد لعميل جديد في %s
Create Shipment,إنشاء شحنة
Create new invoice for order,إنشاء فاتورة جديدة لطلب
Create new shipment for order,إنشاء شحنة جديدة لطلب
Created At,انشئت في 
Credit Memo,مذكرة إئتمانية
Credit Memo #,مذكرة إئتمان #
Credit Memo # ,مذكرة إئتمان #
Credit Memo Comment Email Sender,عنوان البريد الإلكتروني لمرسل تعليق مذكرة الإئتمان
Credit Memo Comment Email Template,قالب البريد الإلكتروني لتعليق مذكرة الإئتمان
Credit Memo Comment Email Template for Guest,قالب البريد الإلكتروني لتعليق مذكرة الإئتمان للعملاء غير المسجلين
Credit Memo Comments,تعليقات مذكرة الإئتمان
Credit Memo Email Sender,عنوان البريد الإلكتروني لمرسل مذكرة الإئتمان
Credit Memo Email Template,قالب البريد الإلكتروني لمذكرة الإئتمان
