# of Uses,# للاستخدام
%s tag(s) have been accepted for moderation,%s علامة تم قبولها
Action,فعل
Actions,افعال
Add New Tag,أضف علامة جديدة
Add Tags,أضف علامات
Add Your Tags:,أضف علاماتك:
Add to Cart,إضافة إلى السلّة
Add to Wishlist,إضافة إلى قائمة الأمنيات
All Tags,جميع العلامات
Approved,موافق
Are you sure that you want to delete this tag?,هل انت متاكد انك تريد ان تحذف هذه العلامة؟
Are you sure you want to delete this tag?,هل انت متاكد انك تريد ان تحذف هذه العلامة؟
Are you sure you want to do this?,هل أنت متأكد أنك تريد فعل ذلك؟
Are you sure?,هل أنت متأكد؟
Back,العودة
Back to Tags List,العودة الى قائمة العلامات
Back to view Tag,العودة الى مشاهدة العلامة
Block Information,اغلاق المعلومات
CSV,ملف CSV
Change status,تغيير الحالة
Click on a tag to view your corresponding products.,انقر على علامة لعرض المنتجات الخاصة بها.
Country,الدولة
Customer Since,عميل منذ
Customers,العملاء
Customers Tagged '%s',الزبائن المعلمة '%s'
Delete,حذف
Delete Tag,حذف العلامة
Disabled,غير مفعل
Edit Tag,تعديل السمة
Edit Tag '%s',تعديل العلامة '%s'
Email,البريد الإلكتروني
First Name,الاسم الأول
General Information,بيانات عامة
Grid,الشبكة
ID,الرمز التعريفي
Last Name,اسم العائلة
List,قائمة
My Recent Tags,علامتي الحالية
My Tags,علاماتي
Name,الاسم
New Tag,علامة جديدة
No matches found.,لم يتم العثور على تطابق.
Other people marked this product with these tags:,اشخاص اخرين اضافوا هذه العلامة لهاذا المنتج:
Pending,معلقة
Pending Tags,علامات معلقة
Popular,شعبي
Popular Tags,علامات شعبية 
Popularity,الشعبية
Price,السعر
Product Name,اسم المنتج
Product SKU,منتج SKU
Product Tags,علامات المنتج
Products,المنتجات
Products Tagged with '%s',المنتجات الموسومه مع '%s'
Products tagged with '%s',المنتجات الموسومه مع '%s'
Products tagged with '%s' (<a href='%s'>RSS</a>),المنتجات الموسومه مع '%s' (<a href='%s'>RSS</a>)
SKU,SKU
Save Tag,حفظ العلامة
Search Results for '%s' (<a href='%s'>RSS</a>),نتائج البحث عن '%s' (<a href='%s'>RSS</a>)
Search Terms,مصطلحات البحث
Status,الحالة
Tag,علامة
"Tag ""%s"" has already been added to the product","وقد سبق وأن أضفت ""%s"" سمة للمنتج"
Tag Information,معلومات العلامة
Tag Name,اسم العلامة
Tag Name: %s,اسم العلامة: %s
<strong>Tag Name:</strong> %s,<strong>اسم العلامة: </strong> %s
Tag can't be empty.,العلامة لا يمكن ان تكون فارغه.
Tagged in,موسومة في 
Tags,علامات
Tags Aren't Available,العلامات غير متاحة
Tags:,علامات:
Telephone,الهاتف
Thank you. Your tag has been accepted for moderation.,شكرا لك. ان البطاقه الخاصة بك تم قبولها..
Unable to find any products tagged with '%s' in the current store,غير قادر على العثور على منتجات موسومة مع '%s' في المتجر
"Unable to remove tag. Please, try again later.",غير قادر على حذف العلامة يرجى المحاوله لاحقا .
Unable to save tag(s),غير قادر على حفظ العلامات
"Unable to save your tag. Please, try again later.",غير قادر على حفظ علامتك يرجى المحاوله مرة اخرى.
Use spaces to separate tags. Use single quotes (') for phrases.,استخدم المسافات للفصل بين العلامات. استخدم علامة اقتباس واحدة ( ') لعبارات.
Uses,استخدام
View All,عرض جميع
View All Tags,عرض كل الكلمات
View Customers,عرض العملاء
View Products,عرض المنتجات
Visible In,مرئية في
XML,ملف XML
You have not tagged any products yet.,انت لم تقم باضافة علامة لاي منتج الى الان.
Your tag was successfully deleted,تم حذف العلامة بنجاح
Your tag was successfully saved,تم حفظ العلامة الخاصة بك بنجاح
ZIP/Post Code,الرمز البريدي
You have not tagged any products yet.,انت لم تقم باضافة علامة لاي منتج الى الان.
