-- Please Select --,-- من فضلك اختر --
Add New Class,إضافة شريحة جديدة
Add New Tax Rate,إضافة معدل ضريبة جديد
Add New Tax Rule,إضافة قاعدة ضريبية جديدة
Apply Discount On Prices Including Tax,تطبيق الخصم على الأسعار وشمل الضريبة
Apply Tax After Discount,تطبيق الضريبة بعد الخصم
Apply Tax On,تطبيق الضريبة على
Are you sure you want to do this?,هل أنت متأكد أنك تريد فعل ذلك؟
Back,العودة
CSV,ملف CSV
Calculation,حساب
Catalog prices include tax,أسعار الكاتالوج شاملة للضريبة
Class Name,اسم الشريحة
Code,الرمز
Country,الدولة
Country/Region/Postal code combination,مزيج من البلد\المنطقة\الرمز البريدي
County,المقاطعة
Custom price if available,سعر مخصص اذا كان متوفرا
Customer Tax Class,شريحة العميل الضريبية
Customer Tax Class Information,معلومات شريحة العميل الضريبية
Customer Tax Classes,شرائح العميل الضريبية
Default Country,البلد الإفتراضية
Default Post Code,الرمز البريدي الإفتراضي
Default State,الولاية الإفتراضية
Default Tax Origin Calculation,الحساب الإفتراضي لأصل الضريبة
Delete Class,حذف شريحة
Delete Rate,حذف معدل
Delete Rule,حذف قاعدة
Display,عرض
Display Cart/Order Prices,عرض أسعار السلة\طلب الشراء
Display Product Prices,عرض أسعار المنتجات
Display Shipping Prices,عرض أسعار الشحن
Display Zero Tax Subtotal,عرض المجموع الفرعي لضريبة الصفر
Display full tax summary,عرض ملخص الضريبة الكامل
Edit Class,تحرير شريحة
Edit Class '%s',تحرير شريحة '%s'
Edit Rule,تحرير قاعدة
Edit Tax Rate,تحرير معدل الضريبة
Error while deleting this class. Please try again later.,خطأ أثناء حذف هذه الشريحة. من فضلك حاول مرة أخرى.
Error while deleting this rate. Incorrect rate ID,خطأ أثناء حذف هذا المعدل. معرف المعدل غير صحيح
Error while deleting this rate. Please try again later.,خطأ أثناء حذف هذا المعدل. من فضلك حاول مرة أخرى.
Error while deleting this tax rule. Please try again later.,خطأ أثناء حذف قاعدة الضريبة هذه. من فضلك حاول مرة أخرى.
Error while saving this rate. Please try again later.,خطأ أثناء حفظ هذا المعدل. من فضلك حاول مرة أخرى.
Error while saving this tax class. Class with the same name ,خطأ أثناء حفظ هذه الشريحة الضريبية. شريحة بنفس الاسم 
Error while saving this tax class. Please try again later.,خطأ أثناء حفظ هذه الشريحة الضريبية. من فضلك حاول مرة أخرى.
Error while saving this tax rule. Please try again later.,خطأ أثناء حفظ هذه القاعدة الضريبية. من فضلك حاول مرة أخرى.
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination",خطأ أثناء حفظ هذه القاعدة الضريبية. هذا مزيج من شريحة المنتج الضريبية، شريحة العميل الضريبية ومعدل الضريبة
Excl. Tax,غير شامل للضريبة
Excl. Tax:,غير شامل للضريبة:
Excluding tax,غير شامل للضريبة
Export Tax Rates,تصدير معدلات الضريبة
Ignored when 'Apply Tax After Discount' option is enabled,"تجاهل عندما يكون خيار ""تطبيق الضريبة بعد الخصم"" مفعل"
Import / Export Tax Rates,استيراد/تصدير معدلات الضريبة
Import Tax Rates,استيراد معدلات الضريبة
Inc. Tax,شامل للضريبة
Incl. Tax,شامل للضريبة
Incl. Tax:,شامل للضريبة:
Including and excluding tax,شامل وغير شامل للضريبة
Including tax,شامل للضريبة
Incorrect rate Data,بيانات المعدل غير صحيحة
Invalid data for tax rate calculation,بيانات غير صالحة لحساب معدل الضريبة
Invalid file format upload attempt,محاولة رفع صيغة ملف غير صالحة
Invalid file upload attempt,محاولة رفع ملف غير صالحة
Manage Customer Tax Classes,إدارة شرائح العملاء الضريبية
Manage Product Tax Classes,إدارة شرائح المنتجات الضريبية
Manage Tax Rates,إدارة معدلات الضريبة
