"%s already exist","%s موجود بالفعل"
"%s already exists","%s موجود بالفعل"
"-- Please Select --","-- من فضلك اختر --"
"Add Block Names to Hints","إضافة حجب أسماء إلى التلميحات"
"Add Secret Key to URLs","إضافة رمز سري الى عناوين الانترنت"
"Add Store Code to Urls","رمز المخزن اضافة الى عناوين المواقع"
"Admin","مشرف"
"Admin Base URL","عنوان المشرف الأولي"
"Admin User Emails","عناوين البريد الإلكتروني لمشرف المستخدم"
"Advanced","متقدم"
"Allow countries","السماح للدول"
"Allowed IPs (comma separated)","سمحت المءسسه (مفصوله بفواصل)"
"Are you sure?","هل أنت متأكد؟"
"Back","للخلف"
"Backup options","الخيارات الاحتياطية"
"Base JavaScript URL","قاعدة موقع جافا سكريبت"""
"Base Link URL","قاعدة وصلة الموقع"
"Base Media URL","موقع قاعدة وسائل الاعلام"
"Base Skin URL","موقع قاعدة الجلد"
"Base URL","قاعدة الموقع"
"Before modifying the store view code please make sure that it is not used in index.php","قبل تعديل قانون المتجر ورأى يرجى التأكد من انها لا تستخدم في index.php"
"Before modifying the website code please make sure that it is not used in index.php","قبل تعديل قانون الموقع يرجى التأكد من انها لا تستخدم في index.php"
"Block with name ""%s"" already exists","مساحة بالاسم ""%s""تم ايجادها"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","لا يمكن استرجاع وجوه الطلب"
"Can't retrieve entity config: %s","لا يمكن استرجاع الكيان أعداد: %s"
"Cancel","إلغاء"
"Cannot Delete Email Template","لا يمكن حذف قالب البريد الإلكتروني"
"Cannot complete this operation from non-admin area.","لا يمكن إتمام هذه العملية لأنك غير مسجل كمشرف"
"Category object is required for determining product request path","مطلوب موضوع الفئة لتحديد طريق المنتج المختار"
"Code","كود"
"Collections Data","مجموعات البيانات"
"Configuration","تكوينات"
"Controller file was loaded but class does not exist","وكان المراقب المالي تحميل الملف ولكن لا وجود الطبقة"
"Cookie Domain","Cookie الملك"
"Cookie Lifetime","Cookie المده الزمنية"
"Cookie Path","Cookie الطريق"
"Copyright","حق النشر"
"Countries options","خيارات الدول"
"Create Store","إنشاء متجر"
"Create Store View","إنشاء عرض متجر"
"Create Website","إنشاء موقع"
"Current package name","اسم المجموعة الحالية"
"Custom Design","تصميم مخصص"
"Custom admin URL","تصميم مخصص URL"
"Custom email 1","بريد إلكتروني مخصص 1"
"Custom email 2","بريد إلكتروني مخصص 2"
"Customer support","دعم العملاء"
"Date From","التاريخ من"
"Date To","التاريخ إلى"
"Date/time format ""%s"" is not supported.","تنسيق التاريخ / الوقت ""٪ S"" غير معتمد."
